Employee_ID,Name,Dept,Role,Age,MonthlySalary,Attrition_Prob,Risk,Engagement,PerformanceRating,Skill_Gap,Primary_Gap,Recommendation
113,Kabir Mehta 13,Sales,Business Development,48,153915,0.0014,LOW,59.0,3,"Partnership Management, Salesforce",Partnership Management,Learn Partnership Management: Mastering Partnership Management
114,Joel Fuller 14,HR,HR Executive,40,127019,0.0,LOW,68.5,3,"HR Operations, Workday",HR Operations,Learn HR Operations: Mastering HR Operations
115,Jasmine Gonzalez 15,Sales,Business Development,59,144017,0.0,LOW,52.2,3,"Partnership Management, ZoomInfo",Partnership Management,Learn Partnership Management: Mastering Partnership Management
116,Ashley Marsh 16,IT,Tester,44,104385,0.045,LOW,67.4,3,"Postman, Selenium",Postman,Learn Postman: Mastering Postman
117,Rohan Pillai 17,Sales,Business Development,41,140153,0.0005,LOW,60.6,3,"Salesforce, ZoomInfo",Salesforce,Learn Salesforce: Mastering Salesforce
118,Judith Ware 18,Support,Helpdesk,30,68826,0.0007,LOW,69.2,2,"Jira Service Desk, Zendesk",Jira Service Desk,Learn Jira Service Desk: Mastering Jira Service Desk
119,Diya Patel 19,Sales,Business Development,34,145034,0.0,LOW,75.4,4,"Salesforce, ZoomInfo",Salesforce,Learn Salesforce: Mastering Salesforce
120,Arjun Rao 20,HR,HR Manager,57,119242,0.0,LOW,67.9,2,"Excel, Talent Acquisition, Workday",Excel,Learn Excel: Mastering Excel
121,Brenda Bauer 21,Sales,Sales Executive,38,158066,0.0,LOW,67.3,3,"Lead Generation, LinkedIn Sales Navigator, Pipeline Management",Lead Generation,Learn Lead Generation: Mastering Lead Generation
122,Aditi Sen 22,Support,Support Engineer,44,85100,0.0,LOW,75.1,3,"SLA Management, Splunk, Technical Troubleshooting",SLA Management,Learn SLA Management: Mastering SLA Management
123,Megan Williams 23,IT,Developer,34,160170,0.0,LOW,84.5,3,"API Integration, Node.js",API Integration,Learn API Integration: Mastering API Integration
124,Christopher Benson 24,Sales,Business Development,54,170431,0.0,LOW,91.2,4,"Deal Closing, ZoomInfo",Deal Closing,Learn Deal Closing: Mastering Deal Closing
125,Cody Bright 25,HR,Employee Relations,32,131205,0.0,LOW,69.4,5,"Conflict Resolution, Employee Wellbeing",Conflict Resolution,Learn Conflict Resolution: Workplace Conflict Resolution & Empathy-Driven Leadership
126,Myra Nair 26,IT,Engineer,42,47809,0.04,LOW,93.9,1,"Backend Architecture, DevOps, Terraform",Backend Architecture,Learn Backend Architecture: Mastering Backend Architecture
127,Ishaan Malhotra 27,Marketing,Content Lead,26,99450,0.0126,LOW,82.5,3,"Adobe Creative Cloud, Content Production",Adobe Creative Cloud,Learn Adobe Creative Cloud: Mastering Adobe Creative Cloud
128,Kavya Menon 28,Sales,Account Manager,56,73428,0.9602,HIGH,57.2,4,"Account Growth, Zendesk",Account Growth,Learn Account Growth: Mastering Account Growth
129,Erin Massey 29,IT,Tester,56,107790,0.0016,LOW,56.9,3,"Bug Tracking, Jira, PyTest",Bug Tracking,Learn Bug Tracking: Mastering Bug Tracking
130,Brenda Bauer 30,IT,Tester,42,146126,0.5933,MEDIUM,65.1,3,"Bug Tracking, PyTest",Bug Tracking,Learn Bug Tracking: Mastering Bug Tracking
131,Meera Das 31,Sales,Account Manager,34,125321,0.0001,LOW,89.3,5,"Gainsight, Salesforce",Gainsight,Learn Gainsight: Mastering Gainsight
132,Clinton Scott 32,Finance,Auditor,36,37093,0.0001,LOW,66.0,3,"ACL Analytics, Excel",ACL Analytics,Learn ACL Analytics: Mastering ACL Analytics
133,Manish Badami 33,IT,Data Analyst,56,79498,0.0666,LOW,49.3,2,"Business Reporting, Exploratory Data Analysis, PowerBI, SQL",Business Reporting,Learn Business Reporting: Mastering Business Reporting
134,Steven Barnett 34,HR,Employee Relations,45,151251,0.0378,LOW,69.3,4,Employee Wellbeing,Employee Wellbeing,Learn Employee Wellbeing: Mastering Employee Wellbeing
135,Sara Snyder 35,IT,Tester,52,75985,0.3528,LOW,48.2,5,"Bug Tracking, Test Automation",Bug Tracking,Learn Bug Tracking: Mastering Bug Tracking
136,Pari Joshi 36,Sales,Sales Executive,53,67009,0.0,LOW,59.3,3,"Lead Generation, Pipeline Management, Salesforce",Lead Generation,Learn Lead Generation: Mastering Lead Generation
137,Reyansh Reddy 37,Support,Helpdesk,56,163515,0.0,LOW,65.0,3,"Jira Service Desk, Zendesk",Jira Service Desk,Learn Jira Service Desk: Mastering Jira Service Desk
138,Kavya Menon 38,IT,Developer,40,52718,0.9754,HIGH,73.8,4,"API Integration, Database Design, Full-Stack Development",API Integration,Learn API Integration: Mastering API Integration
139,Rita Walker 39,IT,Developer,38,51705,0.0142,LOW,84.3,5,"Full-Stack Development, JavaScript / TypeScript",Full-Stack Development,Learn Full-Stack Development: Mastering Full-Stack Development
140,Ishaan Malhotra 40,Support,Support Engineer,58,122618,0.0,LOW,80.3,4,"Jira, SLA Management",Jira,Learn Jira: Mastering Jira
141,Joel Fuller 41,IT,Software Engineer,23,97598,0.0001,LOW,57.8,3,"CI/CD, Code Quality & Testing, Kubernetes, Python",CI/CD,Learn CI/CD: Mastering CI/CD
142,Ayaan Saxena 42,IT,Cybersecurity Specialist,43,112878,0.0,LOW,67.5,4,"SIEM Tools, Vulnerability Assessment",SIEM Tools,Learn SIEM Tools: Mastering SIEM Tools
143,Christopher Benson 43,Sales,Business Development,52,47239,0.0406,LOW,72.9,3,"Deal Closing, Salesforce",Deal Closing,Learn Deal Closing: Mastering Deal Closing
144,Ishaan Malhotra 44,IT,Software Engineer,36,81622,0.0,LOW,68.9,2,"Data Structures & Algorithms, Docker, Kubernetes",Data Structures & Algorithms,Learn Data Structures & Algorithms: Mastering Data Structures & Algorithms
145,Riya Mishra 45,Sales,Business Development,25,81665,0.0,LOW,68.8,3,"Salesforce, ZoomInfo",Salesforce,Learn Salesforce: Mastering Salesforce
146,Christopher Benson 46,Finance,Accountant,24,67274,0.0004,LOW,51.3,3,"Financial Accounting, QuickBooks",Financial Accounting,Learn Financial Accounting: Mastering Financial Accounting
147,Connie Bailey 47,Finance,Financial Analyst,41,177491,0.0,LOW,58.2,4,"Excel, Financial Modeling, SQL",Excel,Learn Excel: Mastering Excel
148,Aditi Sen 48,Finance,Accountant,34,143368,0.0001,LOW,67.2,4,"Financial Accounting, Tax Compliance",Financial Accounting,Learn Financial Accounting: Mastering Financial Accounting
149,Riya Mishra 49,Marketing,SEO Analyst,59,181075,0.0,LOW,34.9,2,"Competitor Analysis, Google Search Console",Competitor Analysis,Learn Competitor Analysis: Mastering Competitor Analysis
150,Brenda Bauer 50,Sales,Business Development,51,143563,0.0041,LOW,79.7,3,"Market Expansion, Salesforce",Market Expansion,Learn Market Expansion: Mastering Market Expansion
151,David Williams 51,Marketing,Content Lead,34,171746,0.0353,LOW,55.5,3,"Content Production, Figma",Content Production,Learn Content Production: Mastering Content Production
152,Norman Lane 52,IT,Tester,26,128103,0.0009,LOW,80.2,4,"Bug Tracking, Postman, Test Automation",Bug Tracking,Learn Bug Tracking: Mastering Bug Tracking
153,David Williams 53,IT,Engineer,32,101446,0.0017,LOW,79.2,1,"Cloud Infrastructure, Terraform",Cloud Infrastructure,Learn Cloud Infrastructure: Mastering Cloud Infrastructure
154,Ashley Marsh 54,HR,HR Executive,36,64072,0.0003,LOW,65.5,3,"HR Operations, Onboarding",HR Operations,Learn HR Operations: Mastering HR Operations
155,Taylor Morris 55,Marketing,SEO Specialist,37,68717,0.0054,LOW,84.0,3,"Google Analytics, Technical SEO",Google Analytics,Learn Google Analytics: Mastering Google Analytics
156,Riya Mishra 56,IT,Tester,43,152202,0.0,LOW,80.9,4,"Bug Tracking, Postman, Selenium",Bug Tracking,Learn Bug Tracking: Mastering Bug Tracking
157,Jeffery Lopez 57,Finance,Accountant,34,157389,0.0,LOW,68.3,3,"Excel, SAP Financials",Excel,Learn Excel: Mastering Excel
158,Vivaan Gupta 58,HR,Recruitment Specialist,27,144525,0.0445,LOW,66.9,3,"LinkedIn Recruiter, Salary Benchmarking",LinkedIn Recruiter,Learn LinkedIn Recruiter: Mastering LinkedIn Recruiter
159,Peggy Mann 59,IT,Engineer,52,39646,0.0012,LOW,85.2,5,"Backend Architecture, Linux",Backend Architecture,Learn Backend Architecture: Mastering Backend Architecture
160,Troy Ford 60,IT,Developer,35,74713,0.0,LOW,74.8,3,"Full-Stack Development, Node.js, PostgreSQL",Full-Stack Development,Learn Full-Stack Development: Mastering Full-Stack Development
161,Navya Chopra 61,Sales,Sales Executive,37,102936,0.0001,LOW,84.5,2,"B2B Sales, Lead Generation, LinkedIn Sales Navigator",B2B Sales,Learn B2B Sales: Mastering B2B Sales
162,Jeffery Lopez 62,Sales,Business Development,54,57185,0.0004,LOW,43.3,2,"Market Expansion, Salesforce",Market Expansion,Learn Market Expansion: Mastering Market Expansion
163,Arjun Rao 63,IT,Cybersecurity Specialist,25,119263,0.0,LOW,73.2,4,"Nmap, Wireshark",Nmap,Learn Nmap: Mastering Nmap
164,Diya Patel 64,IT,Tester,47,87107,0.0,LOW,53.1,3,"Manual Testing, Postman",Manual Testing,Learn Manual Testing: Mastering Manual Testing
165,Christopher Benson 65,Sales,Business Development,43,52563,0.1667,LOW,71.7,3,"Partnership Management, Salesforce",Partnership Management,Learn Partnership Management: Mastering Partnership Management
166,Cody Bright 66,IT,Engineer,34,105729,0.0,LOW,80.6,3,"Cloud Infrastructure, DevOps",Cloud Infrastructure,Learn Cloud Infrastructure: Mastering Cloud Infrastructure
167,Aarav Sharma 67,Sales,Sales Executive,35,50701,0.0,LOW,92.9,5,"B2B Sales, HubSpot, LinkedIn Sales Navigator",B2B Sales,Learn B2B Sales: Mastering B2B Sales
168,Arjun Rao 68,Sales,Business Development,53,163331,0.0,LOW,60.7,3,"Market Expansion, Partnership Management",Market Expansion,Learn Market Expansion: Mastering Market Expansion
169,Reyansh Reddy 69,HR,Employee Relations,51,134280,0.0118,LOW,65.7,3,"Employee Wellbeing, Workplace Policy",Employee Wellbeing,Learn Employee Wellbeing: Mastering Employee Wellbeing
170,Christopher Benson 70,Marketing,Marketing Executive,55,73665,0.0,LOW,70.9,1,"Google Ads, Mailchimp",Google Ads,Learn Google Ads: Mastering Google Ads
171,Ananya Singh 71,IT,Cybersecurity Specialist,37,50957,0.3523,LOW,60.3,3,"Splunk, Vulnerability Assessment",Splunk,Learn Splunk: Mastering Splunk
172,Sara Snyder 72,Marketing,Content Lead,48,81008,0.0,LOW,83.7,2,"Brand Storytelling, Creative Direction",Brand Storytelling,Learn Brand Storytelling: Mastering Brand Storytelling
173,Reyansh Reddy 73,Sales,Account Manager,39,96920,0.0014,LOW,71.2,4,"Contract Renewal, Gainsight, Salesforce",Contract Renewal,Learn Contract Renewal: Mastering Contract Renewal
174,Vihaan Verma 74,Marketing,SEO Analyst,43,148828,0.0,LOW,73.5,4,Google Search Console,Google Search Console,Learn Google Search Console: Mastering Google Search Console
175,Rita Walker 75,Sales,Sales Executive,52,158852,0.0,LOW,79.4,3,"B2B Sales, Client Relationship Management, Pipeline Management, Salesforce",B2B Sales,Learn B2B Sales: Mastering B2B Sales
176,Meera Das 76,IT,Software Engineer,33,167698,0.0,LOW,71.1,3,"CI/CD, Code Quality & Testing, Docker, Python",CI/CD,Learn CI/CD: Mastering CI/CD
177,Reyansh Reddy 77,IT,Engineer,40,125815,0.0,LOW,62.2,3,"Cloud Infrastructure, Linux",Cloud Infrastructure,Learn Cloud Infrastructure: Mastering Cloud Infrastructure
178,Riya Mishra 78,IT,Data Analyst,55,73311,0.0097,LOW,71.2,3,"Data Cleaning, Python",Data Cleaning,Learn Data Cleaning: Mastering Data Cleaning
179,Megan Williams 79,IT,Engineer,25,67356,0.0,LOW,61.7,3,"Backend Architecture, Terraform",Backend Architecture,Learn Backend Architecture: Mastering Backend Architecture
180,Megan Williams 80,Sales,Business Development,29,38809,0.0007,LOW,73.3,5,"Partnership Management, ZoomInfo",Partnership Management,Learn Partnership Management: Mastering Partnership Management
181,Ayaan Saxena 81,IT,Cybersecurity Specialist,49,69875,0.0047,LOW,84.0,4,"Incident Response, Vulnerability Assessment",Incident Response,Learn Incident Response: Mastering Incident Response
182,Aditya Kumar 82,HR,HR Executive,26,44465,0.3728,LOW,57.9,3,"Excel, HR Operations",Excel,Learn Excel: Mastering Excel
183,Kabir Mehta 83,IT,Engineer,45,108844,0.0,LOW,53.6,3,"Backend Architecture, Linux",Backend Architecture,Learn Backend Architecture: Mastering Backend Architecture
184,Kavya Menon 84,IT,Software Engineer,51,121889,0.0,LOW,72.6,3,"CI/CD, Docker, Kubernetes, System Design",CI/CD,Learn CI/CD: Mastering CI/CD
185,Vihaan Verma 85,IT,Tester,42,50250,0.0,LOW,62.8,4,"Jira, Postman, Test Automation",Jira,Learn Jira: Mastering Jira
186,Ashley Marsh 86,Support,Support Engineer,22,81023,0.7099,HIGH,72.4,3,"Jira, Technical Troubleshooting",Jira,Learn Jira: Mastering Jira
187,Riya Mishra 87,Sales,Business Development,25,136350,0.0,LOW,75.8,3,"Partnership Management, Salesforce",Partnership Management,Learn Partnership Management: Mastering Partnership Management
188,Nicole Roberts 88,IT,Software Engineer,47,51427,0.5034,MEDIUM,46.3,1,"CI/CD, Data Structures & Algorithms, Git",CI/CD,Learn CI/CD: Mastering CI/CD
189,Saanvi Iyer 89,Sales,Sales Executive,45,106643,0.0,LOW,80.3,4,"B2B Sales, Pipeline Management",B2B Sales,Learn B2B Sales: Mastering B2B Sales
190,Nicole Roberts 90,IT,Developer,28,169511,0.0,LOW,58.0,4,"Database Design, Node.js",Database Design,Learn Database Design: Mastering Database Design
191,Christopher Benson 91,IT,Tester,21,113672,0.0009,LOW,71.7,3,"PyTest, Selenium",PyTest,Learn PyTest: Mastering PyTest
192,Connie Bailey 92,Sales,Sales Executive,40,52300,0.9629,HIGH,64.1,3,"B2B Sales, Client Relationship Management",B2B Sales,Learn B2B Sales: Mastering B2B Sales
193,Ananya Singh 93,HR,HR Executive,43,95289,0.0,LOW,65.4,2,"HR Operations, Workday",HR Operations,Learn HR Operations: Mastering HR Operations
194,Brenda Bauer 94,Sales,Account Manager,52,183254,0.0,LOW,92.3,4,"Account Growth, Client Relationship Management",Account Growth,Learn Account Growth: Mastering Account Growth
195,Avani Bhat 95,Support,Support Engineer,31,54659,0.0242,LOW,75.8,4,"Postman, Splunk",Postman,Learn Postman: Mastering Postman
196,Vihaan Verma 96,HR,Recruitment Specialist,59,45360,0.8717,HIGH,82.9,3,"Candidate Sourcing, Lever, Salary Benchmarking",Candidate Sourcing,Learn Candidate Sourcing: Mastering Candidate Sourcing
197,Norman Lane 97,Finance,Financial Analyst,44,56424,0.0001,LOW,73.8,2,"Excel, Financial Modeling, PowerBI",Excel,Learn Excel: Mastering Excel
198,Ananya Singh 98,Sales,Account Manager,31,133035,0.0,LOW,79.4,3,"Client Relationship Management, Salesforce",Client Relationship Management,Learn Client Relationship Management: Mastering Client Relationship Management
199,Ananya Singh 99,IT,Data Analyst,49,83791,0.0307,LOW,77.0,3,"Business Reporting, Exploratory Data Analysis, Statistical Analysis, Tableau",Business Reporting,Learn Business Reporting: Mastering Business Reporting
200,Saanvi Iyer 100,Support,Support Engineer,46,169137,0.0,LOW,75.1,3,"Jira, SLA Management",Jira,Learn Jira: Mastering Jira
201,Nicole Roberts 101,IT,Software Engineer,36,47300,0.0001,LOW,85.3,3,"AWS, CI/CD, Docker, Kubernetes",AWS,Learn AWS: AWS Certified Solutions Architect & Cloud Engineering
202,Vivaan Gupta 102,Sales,Business Development,55,68370,0.7009,HIGH,73.9,3,"Deal Closing, Partnership Management",Deal Closing,Learn Deal Closing: Mastering Deal Closing
203,Manish Badami 103,Sales,Sales Executive,40,62209,0.0151,LOW,99.4,3,"HubSpot, Lead Generation, Negotiation",HubSpot,Learn HubSpot: Mastering HubSpot
204,Rohan Pillai 104,Marketing,Content Lead,23,55927,0.0002,LOW,83.5,3,"Adobe Creative Cloud, Figma",Adobe Creative Cloud,Learn Adobe Creative Cloud: Mastering Adobe Creative Cloud
205,Troy Ford 105,HR,Recruitment Specialist,21,69579,0.0047,LOW,58.3,4,"Salary Benchmarking, Screening & Interviewing",Salary Benchmarking,Learn Salary Benchmarking: Mastering Salary Benchmarking
206,Jasmine Gonzalez 106,Finance,Financial Analyst,21,44032,0.0004,LOW,69.9,3,"PowerBI, Tableau",PowerBI,Learn PowerBI: PowerBI & Tableau Executive Dashboards
207,Sara Khan 107,Sales,Business Development,37,128254,0.0002,LOW,76.8,3,"Market Expansion, Salesforce",Market Expansion,Learn Market Expansion: Mastering Market Expansion
208,Jasmine Gonzalez 108,Sales,Sales Executive,22,113413,0.0,LOW,72.5,2,"B2B Sales, Lead Generation, Pipeline Management",B2B Sales,Learn B2B Sales: Mastering B2B Sales
209,Judith Ware 109,IT,Developer,49,148528,0.0,LOW,80.2,3,"Git Version Control, JavaScript / TypeScript, React",Git Version Control,Learn Git Version Control: Mastering Git Version Control
210,Troy Ford 110,Finance,Financial Analyst,40,158916,0.0,LOW,81.6,4,"Excel, SQL",Excel,Learn Excel: Mastering Excel
211,Steven Barnett 111,IT,Software Engineer,26,107302,0.0,LOW,55.7,1,"AWS, Data Structures & Algorithms, Docker",AWS,Learn AWS: AWS Certified Solutions Architect & Cloud Engineering
212,Ishaan Malhotra 112,Sales,Business Development,28,120757,0.0,LOW,87.4,3,"Partnership Management, ZoomInfo",Partnership Management,Learn Partnership Management: Mastering Partnership Management
213,Erin Massey 113,Marketing,Content Strategist,49,50932,0.8131,HIGH,66.0,2,"Canva, Notion",Canva,Learn Canva: Mastering Canva
214,Vihaan Verma 114,Sales,Account Manager,53,60714,0.0012,LOW,64.8,3,"Client Relationship Management, Gainsight, Salesforce",Client Relationship Management,Learn Client Relationship Management: Mastering Client Relationship Management
215,Aditya Kumar 115,Support,Support Engineer,23,92803,0.0,LOW,64.8,3,"SLA Management, Splunk",SLA Management,Learn SLA Management: Mastering SLA Management
216,Kabir Mehta 116,IT,Developer,55,168624,0.0,LOW,81.7,2,"Full-Stack Development, Node.js, PostgreSQL",Full-Stack Development,Learn Full-Stack Development: Mastering Full-Stack Development
217,Devansh Banerjee 117,Support,Support Engineer,25,91627,0.0,LOW,68.8,2,"Jira, Postman, Root Cause Analysis",Jira,Learn Jira: Mastering Jira
218,Devansh Banerjee 118,Marketing,Marketing Executive,47,114810,0.0,LOW,64.0,4,"Mailchimp, Market Research",Mailchimp,Learn Mailchimp: Mastering Mailchimp
219,Myra Nair 119,Marketing,SEO Specialist,32,80380,0.4727,MEDIUM,66.9,3,"Google Analytics, Keyword Research",Google Analytics,Learn Google Analytics: Mastering Google Analytics
220,Arjun Rao 120,IT,Engineer,40,99686,0.0,LOW,50.5,3,"DevOps, Linux",DevOps,Learn DevOps: Mastering DevOps
221,Anna Dominguez 121,Finance,Financial Analyst,40,155321,0.0,LOW,61.9,4,"PowerBI, Tableau",PowerBI,Learn PowerBI: PowerBI & Tableau Executive Dashboards
222,Meera Das 122,Marketing,SEO Specialist,29,80028,0.0,LOW,57.1,3,"Ahrefs, SEMrush, Technical SEO",Ahrefs,Learn Ahrefs: Mastering Ahrefs
223,Meera Das 123,HR,Recruitment Specialist,59,181367,0.0,LOW,68.8,4,"LinkedIn Recruiter, Screening & Interviewing",LinkedIn Recruiter,Learn LinkedIn Recruiter: Mastering LinkedIn Recruiter
224,Nicole Roberts 124,Marketing,Content Lead,24,148141,0.0006,LOW,80.0,5,"Brand Storytelling, Content Production",Brand Storytelling,Learn Brand Storytelling: Mastering Brand Storytelling
225,Ananya Singh 125,Marketing,Content Lead,39,90248,0.5139,MEDIUM,78.6,3,"Brand Storytelling, Creative Direction",Brand Storytelling,Learn Brand Storytelling: Mastering Brand Storytelling
226,Pari Joshi 126,HR,Employee Relations,58,45523,0.0662,LOW,87.1,3,"Conflict Resolution, Workplace Policy",Conflict Resolution,Learn Conflict Resolution: Workplace Conflict Resolution & Empathy-Driven Leadership
227,Aarav Sharma 127,Sales,Business Development,47,80530,0.0,LOW,84.4,3,"Market Expansion, ZoomInfo",Market Expansion,Learn Market Expansion: Mastering Market Expansion
228,Riya Mishra 128,Support,Support Engineer,33,48769,0.1666,LOW,65.7,4,"SLA Management, Technical Troubleshooting",SLA Management,Learn SLA Management: Mastering SLA Management
229,Peter Mckee 129,Sales,Account Manager,33,147035,0.0033,LOW,72.2,3,"Gainsight, Zendesk",Gainsight,Learn Gainsight: Mastering Gainsight
230,Shannon Clark 130,IT,Engineer,42,114782,0.0098,LOW,71.6,4,"AWS, DevOps",AWS,Learn AWS: AWS Certified Solutions Architect & Cloud Engineering
231,Myra Nair 131,HR,HR Manager,48,113382,0.0,LOW,46.2,5,"BambooHR, Talent Acquisition, Workday",BambooHR,Learn BambooHR: Mastering BambooHR
232,Diya Patel 132,Sales,Sales Executive,42,145939,0.0,LOW,57.4,4,"B2B Sales, LinkedIn Sales Navigator",B2B Sales,Learn B2B Sales: Mastering B2B Sales
233,David Williams 133,IT,Data Analyst,39,179542,0.0,LOW,70.0,4,"PowerBI, Tableau",PowerBI,Learn PowerBI: PowerBI & Tableau Executive Dashboards
234,Diya Patel 134,IT,Engineer,28,113712,0.0,LOW,69.9,3,DevOps,DevOps,Learn DevOps: Mastering DevOps
235,Navya Chopra 135,HR,HR Manager,28,153643,0.0,LOW,78.1,4,"BambooHR, Employee Retention, HR Compliance",BambooHR,Learn BambooHR: Mastering BambooHR
236,Devansh Banerjee 136,IT,Engineer,46,142417,0.0001,LOW,77.6,2,"Cloud Infrastructure, Linux",Cloud Infrastructure,Learn Cloud Infrastructure: Mastering Cloud Infrastructure
237,Taylor Morris 137,IT,Tester,46,172877,0.0007,LOW,50.8,3,"Manual Testing, Selenium",Manual Testing,Learn Manual Testing: Mastering Manual Testing
238,Sara Khan 138,Sales,Account Manager,43,163256,0.0,LOW,78.2,3,"Contract Renewal, Cross-selling, Zendesk",Contract Renewal,Learn Contract Renewal: Mastering Contract Renewal
239,Peggy Mann 139,Support,Helpdesk,33,136422,0.0,LOW,74.1,3,"Jira Service Desk, Zendesk",Jira Service Desk,Learn Jira Service Desk: Mastering Jira Service Desk
240,Manish Badami 140,Marketing,Content Strategist,48,124300,0.0003,LOW,79.5,2,"Canva, Content Strategy, Copywriting",Canva,Learn Canva: Mastering Canva
241,Diya Patel 141,IT,Cybersecurity Specialist,29,41630,0.9969,HIGH,84.8,3,"Splunk, Wireshark",Splunk,Learn Splunk: Mastering Splunk
242,Jeffery Lopez 142,IT,Data Analyst,40,159474,0.0,LOW,70.3,2,"Exploratory Data Analysis, PowerBI, Statistical Analysis",Exploratory Data Analysis,Learn Exploratory Data Analysis: Mastering Exploratory Data Analysis
243,Kavya Menon 143,HR,HR Manager,39,133869,0.0,LOW,86.9,3,"Employee Retention, Workday",Employee Retention,Learn Employee Retention: Strategic HR Leadership & Talent Retention Strategies
244,Judith Ware 144,Sales,Sales Executive,59,50701,0.0222,LOW,61.3,3,"LinkedIn Sales Navigator, Negotiation, Pipeline Management",LinkedIn Sales Navigator,Learn LinkedIn Sales Navigator: Mastering LinkedIn Sales Navigator
245,Kabir Mehta 145,IT,Data Analyst,32,180931,0.0,LOW,60.7,5,"Excel, Exploratory Data Analysis, Python",Excel,Learn Excel: Mastering Excel
246,Reyansh Reddy 146,Sales,Sales Executive,35,132285,0.0002,LOW,77.1,3,"HubSpot, Lead Generation",HubSpot,Learn HubSpot: Mastering HubSpot
247,Manish Badami 147,Sales,Account Manager,51,152556,0.0,LOW,67.6,4,"Account Growth, Contract Renewal, Cross-selling",Account Growth,Learn Account Growth: Mastering Account Growth
248,Christopher Benson 148,Support,Helpdesk,34,50021,0.0004,LOW,75.1,2,"Jira Service Desk, Zendesk",Jira Service Desk,Learn Jira Service Desk: Mastering Jira Service Desk
249,Diya Patel 149,Marketing,Content Lead,31,99361,0.0461,LOW,95.9,3,"Content Production, Figma",Content Production,Learn Content Production: Mastering Content Production
250,Erin Massey 150,Sales,Sales Executive,46,167317,0.0114,LOW,76.7,3,"B2B Sales, LinkedIn Sales Navigator, Negotiation",B2B Sales,Learn B2B Sales: Mastering B2B Sales
251,Clinton Scott 151,IT,Cybersecurity Specialist,47,45355,0.023,LOW,74.5,3,"Incident Response, Nmap",Incident Response,Learn Incident Response: Mastering Incident Response
252,Cody Bright 152,HR,Employee Relations,31,133841,0.0,LOW,61.6,4,Workplace Policy,Workplace Policy,Learn Workplace Policy: Mastering Workplace Policy
253,Riya Mishra 153,Marketing,Marketing Executive,58,52198,0.9989,HIGH,51.6,4,"Campaign Management, Google Ads",Campaign Management,Learn Campaign Management: Mastering Campaign Management
254,Connie Bailey 154,IT,Software Engineer,54,101951,0.0,LOW,71.1,4,Data Structures & Algorithms,Data Structures & Algorithms,Learn Data Structures & Algorithms: Mastering Data Structures & Algorithms
255,Sara Snyder 155,IT,Developer,39,167724,0.0,LOW,84.8,3,"API Integration, JavaScript / TypeScript",API Integration,Learn API Integration: Mastering API Integration
256,Navya Chopra 156,HR,Recruitment Specialist,26,53740,0.9218,HIGH,68.1,3,"LinkedIn Recruiter, Screening & Interviewing",LinkedIn Recruiter,Learn LinkedIn Recruiter: Mastering LinkedIn Recruiter
257,Vivaan Gupta 157,Finance,Financial Analyst,58,38810,0.9253,HIGH,76.8,3,"SQL, Tableau",SQL,Learn SQL: Advanced SQL & Modern Data Warehousing
258,Ishaan Malhotra 158,HR,Employee Relations,48,158743,0.0571,LOW,89.1,2,"Excel, Workplace Policy",Excel,Learn Excel: Mastering Excel
