Employee ID,Name,Department,Job Role,EngagementScore,Performance Score,KPI Score,Attendance (%),Peer Rating,Task Completion (%),Work Hours Logged,Manager Feedback,Training Hours,Promotion Eligibility
135,Sara Snyder 35,IT,Tester,48.2,100,87.56,94.4,4.6,80.23,44,4.0,71,No
136,Pari Joshi 36,Sales,Sales Executive,59.3,60,82.75,99.37,2.9,92.1,49,5.0,41,No
137,Reyansh Reddy 37,Support,Helpdesk,65.0,60,64.67,90.42,4.0,82.41,52,3.3,50,No
138,Kavya Menon 38,IT,Developer,73.8,80,68.22,86.21,4.1,84.72,49,4.5,18,No
139,Rita Walker 39,IT,Developer,84.3,100,84.57,80.53,4.1,89.74,53,3.6,65,No
140,Ishaan Malhotra 40,Support,Support Engineer,80.3,80,57.96,87.21,3.9,83.53,54,5.0,46,No
141,Joel Fuller 41,IT,Software Engineer,57.8,60,81.39,89.42,4.6,69.46,39,3.4,64,No
142,Ayaan Saxena 42,IT,Cybersecurity Specialist,67.5,80,64.69,77.76,3.8,92.32,45,3.5,41,No
143,Christopher Benson 43,Sales,Business Development,72.9,60,69.32,94.45,3.9,94.04,43,4.5,37,No
144,Ishaan Malhotra 44,IT,Software Engineer,68.9,40,63.89,85.03,4.1,69.35,39,4.0,12,No
145,Riya Mishra 45,Sales,Business Development,68.8,60,80.46,94.03,3.8,75.65,45,4.5,43,No
146,Christopher Benson 46,Finance,Accountant,51.3,60,89.16,87.92,3.1,100.0,41,4.7,23,No
147,Connie Bailey 47,Finance,Financial Analyst,58.2,80,81.48,90.08,4.0,85.86,36,4.1,29,No
148,Aditi Sen 48,Finance,Accountant,67.2,80,82.58,83.09,4.0,84.03,54,4.6,69,No
149,Riya Mishra 49,Marketing,SEO Analyst,34.9,40,79.68,85.59,3.7,80.59,54,2.8,37,No
150,Brenda Bauer 50,Sales,Business Development,79.7,60,84.83,92.49,3.8,75.75,53,4.2,22,No
151,David Williams 51,Marketing,Content Lead,55.5,60,82.67,87.08,2.0,82.44,52,3.9,73,No
152,Norman Lane 52,IT,Tester,80.2,80,50.85,80.27,4.6,91.8,50,4.9,56,No
153,David Williams 53,IT,Engineer,79.2,20,87.06,88.78,4.4,83.87,35,2.7,78,No
154,Ashley Marsh 54,HR,HR Executive,65.5,60,86.01,90.7,3.1,88.88,37,3.6,22,No
155,Taylor Morris 55,Marketing,SEO Specialist,84.0,60,74.38,97.61,3.5,98.13,43,3.2,35,No
156,Riya Mishra 56,IT,Tester,80.9,80,58.26,96.07,4.8,79.36,51,4.1,56,No
157,Jeffery Lopez 57,Finance,Accountant,68.3,60,80.42,87.55,3.2,86.42,42,4.2,0,No
158,Vivaan Gupta 58,HR,Recruitment Specialist,66.9,60,81.27,84.17,4.2,92.04,50,4.0,71,No
159,Peggy Mann 59,IT,Engineer,85.2,100,73.6,86.4,3.6,76.54,46,4.5,2,Yes
160,Troy Ford 60,IT,Developer,74.8,60,79.87,84.33,4.1,85.42,38,4.7,13,No
161,Navya Chopra 61,Sales,Sales Executive,84.5,40,88.72,91.54,3.9,98.98,39,4.2,80,No
162,Jeffery Lopez 62,Sales,Business Development,43.3,40,100.0,95.29,3.7,81.28,41,3.2,33,No
163,Arjun Rao 63,IT,Cybersecurity Specialist,73.2,80,79.47,96.68,4.1,92.55,52,3.7,69,No
164,Diya Patel 64,IT,Tester,53.1,60,81.34,85.11,3.6,82.87,54,4.4,68,No
165,Christopher Benson 65,Sales,Business Development,71.7,60,69.76,84.42,2.8,98.4,48,4.2,50,No
166,Cody Bright 66,IT,Engineer,80.6,60,72.99,85.06,3.3,70.84,42,3.6,28,No
167,Aarav Sharma 67,Sales,Sales Executive,92.9,100,76.64,74.48,3.3,84.52,47,4.6,81,Yes
168,Arjun Rao 68,Sales,Business Development,60.7,60,89.78,79.58,2.9,72.17,38,4.4,47,No
169,Reyansh Reddy 69,HR,Employee Relations,65.7,60,86.19,87.76,4.1,78.39,46,4.6,78,No
170,Christopher Benson 70,Marketing,Marketing Executive,70.9,20,97.29,90.65,3.8,78.35,37,4.2,78,No
171,Ananya Singh 71,IT,Cybersecurity Specialist,60.3,60,63.1,91.44,4.1,81.86,39,3.6,15,No
172,Sara Snyder 72,Marketing,Content Lead,83.7,40,64.76,82.54,4.2,74.49,38,4.9,56,No
173,Reyansh Reddy 73,Sales,Account Manager,71.2,80,89.02,84.56,4.4,83.43,49,4.4,9,No
174,Vihaan Verma 74,Marketing,SEO Analyst,73.5,80,92.49,86.11,4.1,87.68,39,4.3,18,No
175,Rita Walker 75,Sales,Sales Executive,79.4,60,78.33,85.33,3.3,71.74,43,4.5,66,No
176,Meera Das 76,IT,Software Engineer,71.1,60,40.0,92.82,4.2,78.92,48,3.8,35,No
177,Reyansh Reddy 77,IT,Engineer,62.2,60,70.56,78.84,4.0,100.0,50,4.3,3,No
178,Riya Mishra 78,IT,Data Analyst,71.2,60,81.35,79.95,5.0,86.63,37,3.9,74,No
179,Megan Williams 79,IT,Engineer,61.7,60,69.01,85.91,3.9,69.46,49,3.6,32,No
180,Megan Williams 80,Sales,Business Development,73.3,100,79.85,78.44,4.1,72.8,52,3.2,27,No
181,Ayaan Saxena 81,IT,Cybersecurity Specialist,84.0,80,96.99,74.7,3.8,85.81,52,2.8,79,No
182,Aditya Kumar 82,HR,HR Executive,57.9,60,92.26,77.55,3.9,84.81,48,4.2,8,No
183,Kabir Mehta 83,IT,Engineer,53.6,60,86.09,86.3,3.9,79.3,41,3.6,74,No
184,Kavya Menon 84,IT,Software Engineer,72.6,60,77.36,92.41,3.6,100.0,54,3.7,5,No
185,Vihaan Verma 85,IT,Tester,62.8,80,73.05,92.56,4.0,100.0,40,3.5,48,No
186,Ashley Marsh 86,Support,Support Engineer,72.4,60,85.58,99.12,4.3,81.88,50,3.1,75,No
187,Riya Mishra 87,Sales,Business Development,75.8,60,78.25,88.71,3.6,90.98,53,4.6,21,No
188,Nicole Roberts 88,IT,Software Engineer,46.3,20,78.6,89.65,4.4,91.39,43,5.0,47,No
189,Saanvi Iyer 89,Sales,Sales Executive,80.3,80,62.49,86.25,4.3,92.45,54,2.9,20,No
190,Nicole Roberts 90,IT,Developer,58.0,80,70.85,86.59,3.4,78.88,35,4.2,32,No
191,Christopher Benson 91,IT,Tester,71.7,60,85.52,100.0,3.3,99.52,52,3.3,80,No
192,Connie Bailey 92,Sales,Sales Executive,64.1,60,66.99,89.83,4.2,83.45,48,4.5,55,No
193,Ananya Singh 93,HR,HR Executive,65.4,40,80.66,90.44,3.5,87.38,48,4.8,28,No
194,Brenda Bauer 94,Sales,Account Manager,92.3,80,82.13,79.98,3.3,84.02,42,4.5,52,Yes
195,Avani Bhat 95,Support,Support Engineer,75.8,80,82.71,90.87,4.9,82.88,51,3.4,39,No
196,Vihaan Verma 96,HR,Recruitment Specialist,82.9,60,83.6,92.61,3.3,86.23,52,3.6,73,No
197,Norman Lane 97,Finance,Financial Analyst,73.8,40,84.28,95.77,3.0,74.51,49,3.7,17,No
198,Ananya Singh 98,Sales,Account Manager,79.4,60,71.76,92.41,3.4,68.23,44,4.4,46,No
199,Ananya Singh 99,IT,Data Analyst,77.0,60,63.32,87.11,4.0,82.29,54,3.9,12,No
200,Saanvi Iyer 100,Support,Support Engineer,75.1,60,69.26,86.81,3.9,76.96,50,4.4,26,No
201,Nicole Roberts 101,IT,Software Engineer,85.3,60,85.3,87.5,5.0,88.38,41,4.0,61,No
202,Vivaan Gupta 102,Sales,Business Development,73.9,60,65.99,88.75,3.4,87.47,51,4.0,73,No
203,Manish Badami 103,Sales,Sales Executive,99.4,60,67.59,96.87,4.0,84.11,39,4.1,44,No
204,Rohan Pillai 104,Marketing,Content Lead,83.5,60,67.54,95.51,4.6,95.85,52,4.0,2,No
205,Troy Ford 105,HR,Recruitment Specialist,58.3,80,59.54,93.27,3.5,83.95,48,3.1,21,No
206,Jasmine Gonzalez 106,Finance,Financial Analyst,69.9,60,66.53,100.0,4.3,72.33,52,3.4,26,No
207,Sara Khan 107,Sales,Business Development,76.8,60,88.0,69.41,2.8,82.21,52,5.0,54,No
208,Jasmine Gonzalez 108,Sales,Sales Executive,72.5,40,70.83,84.78,5.0,93.37,49,4.3,66,No
209,Judith Ware 109,IT,Developer,80.2,60,60.51,87.92,4.5,68.93,45,5.0,32,No
210,Troy Ford 110,Finance,Financial Analyst,81.6,80,72.88,83.29,3.5,83.25,39,3.5,1,No
211,Steven Barnett 111,IT,Software Engineer,55.7,20,83.11,81.49,4.4,88.6,50,4.0,74,No
212,Ishaan Malhotra 112,Sales,Business Development,87.4,60,59.69,75.98,4.7,100.0,42,3.9,45,No
213,Erin Massey 113,Marketing,Content Strategist,66.0,40,87.53,85.82,3.1,93.67,47,3.4,73,No
214,Vihaan Verma 114,Sales,Account Manager,64.8,60,63.59,94.26,3.5,85.06,51,3.0,32,No
215,Aditya Kumar 115,Support,Support Engineer,64.8,60,74.05,93.42,4.7,88.17,43,3.4,57,No
216,Kabir Mehta 116,IT,Developer,81.7,40,73.92,82.74,3.9,68.82,49,4.6,6,No
217,Devansh Banerjee 117,Support,Support Engineer,68.8,40,72.39,89.54,4.2,75.6,41,3.7,14,No
218,Devansh Banerjee 118,Marketing,Marketing Executive,64.0,80,77.35,97.5,3.9,89.21,52,3.8,25,No
219,Myra Nair 119,Marketing,SEO Specialist,66.9,60,85.79,77.36,4.4,85.29,48,4.0,10,No
220,Arjun Rao 120,IT,Engineer,50.5,60,77.59,86.89,4.2,86.31,42,4.1,37,No
221,Anna Dominguez 121,Finance,Financial Analyst,61.9,80,71.94,90.01,4.0,84.27,36,3.8,26,No
222,Meera Das 122,Marketing,SEO Specialist,57.1,60,82.57,88.07,2.6,83.96,52,3.8,6,No
223,Meera Das 123,HR,Recruitment Specialist,68.8,80,80.07,93.95,4.3,84.82,38,4.2,0,No
224,Nicole Roberts 124,Marketing,Content Lead,80.0,100,71.3,77.52,4.3,75.55,36,5.0,73,No
225,Ananya Singh 125,Marketing,Content Lead,78.6,60,78.42,80.96,3.2,82.17,44,3.6,20,No
226,Pari Joshi 126,HR,Employee Relations,87.1,60,70.48,92.77,3.2,74.05,40,3.1,78,No
227,Aarav Sharma 127,Sales,Business Development,84.4,60,69.34,76.08,4.2,79.04,45,3.6,29,No
228,Riya Mishra 128,Support,Support Engineer,65.7,80,86.06,93.68,4.0,93.57,54,3.9,7,No
229,Peter Mckee 129,Sales,Account Manager,72.2,60,82.47,91.15,2.7,82.55,44,2.9,82,No
230,Shannon Clark 130,IT,Engineer,71.6,80,85.7,93.19,3.4,88.77,51,4.1,2,No
231,Myra Nair 131,HR,HR Manager,46.2,100,84.35,84.71,4.1,84.92,42,4.3,54,No
232,Diya Patel 132,Sales,Sales Executive,57.4,80,69.13,91.57,4.3,80.92,40,3.4,14,No
233,David Williams 133,IT,Data Analyst,70.0,80,88.01,79.79,3.5,75.93,50,3.8,35,No
234,Diya Patel 134,IT,Engineer,69.9,60,75.02,85.1,3.8,80.8,44,4.4,5,No
235,Navya Chopra 135,HR,HR Manager,78.1,80,87.29,88.25,3.4,85.47,53,4.0,41,No
236,Devansh Banerjee 136,IT,Engineer,77.6,40,76.75,81.71,4.7,88.64,38,4.1,49,No
237,Taylor Morris 137,IT,Tester,50.8,60,81.13,89.53,4.0,84.98,36,3.9,17,No
238,Sara Khan 138,Sales,Account Manager,78.2,60,81.43,79.99,3.5,89.2,54,4.1,82,No
239,Peggy Mann 139,Support,Helpdesk,74.1,60,86.13,89.88,3.2,71.84,36,4.9,49,No
240,Manish Badami 140,Marketing,Content Strategist,79.5,40,61.65,100.0,3.1,90.93,46,4.3,29,No
241,Diya Patel 141,IT,Cybersecurity Specialist,84.8,60,62.24,79.2,5.0,74.97,38,2.8,76,No
242,Jeffery Lopez 142,IT,Data Analyst,70.3,40,84.72,87.84,3.8,91.87,50,4.1,38,No
243,Kavya Menon 143,HR,HR Manager,86.9,60,81.56,76.67,3.7,88.02,36,5.0,11,No
244,Judith Ware 144,Sales,Sales Executive,61.3,60,70.24,82.17,3.8,69.04,50,4.0,58,No
245,Kabir Mehta 145,IT,Data Analyst,60.7,100,81.64,92.91,3.5,89.9,49,2.9,75,No
246,Reyansh Reddy 146,Sales,Sales Executive,77.1,60,63.92,84.99,3.8,91.96,48,3.4,43,No
247,Manish Badami 147,Sales,Account Manager,67.6,80,100.0,93.2,3.9,94.06,45,3.9,3,No
248,Christopher Benson 148,Support,Helpdesk,75.1,40,91.12,90.49,3.9,77.85,49,3.5,35,No
249,Diya Patel 149,Marketing,Content Lead,95.9,60,84.22,87.55,3.1,85.44,40,5.0,47,No
250,Erin Massey 150,Sales,Sales Executive,76.7,60,78.76,80.79,4.4,89.56,50,3.4,13,No
251,Clinton Scott 151,IT,Cybersecurity Specialist,74.5,60,71.81,92.8,3.6,89.89,35,4.0,80,No
252,Cody Bright 152,HR,Employee Relations,61.6,80,64.9,90.13,3.5,87.28,45,4.0,48,No
253,Riya Mishra 153,Marketing,Marketing Executive,51.6,80,76.86,77.3,3.5,80.59,48,4.9,66,No
254,Connie Bailey 154,IT,Software Engineer,71.1,80,69.4,81.25,3.3,91.9,36,3.9,76,No
255,Sara Snyder 155,IT,Developer,84.8,60,69.99,68.62,4.1,91.95,50,4.7,8,No
256,Navya Chopra 156,HR,Recruitment Specialist,68.1,60,63.83,78.44,4.4,82.77,38,3.8,20,No
257,Vivaan Gupta 157,Finance,Financial Analyst,76.8,60,80.5,85.81,3.5,77.73,48,3.9,71,No
258,Ishaan Malhotra 158,HR,Employee Relations,89.1,40,74.23,80.61,2.8,78.18,50,3.8,80,No
259,Jeffery Lopez 159,Sales,Business Development,88.8,80,83.35,82.18,3.3,94.92,49,3.0,15,Yes
260,Avani Bhat 160,Support,Support Engineer,77.1,80,82.57,97.73,3.6,91.61,36,4.6,15,No
261,Jeffery Lopez 161,IT,Developer,74.0,60,80.29,95.2,3.2,83.84,47,4.4,27,No
262,Norman Lane 162,Marketing,SEO Specialist,53.8,80,100.0,83.14,3.5,82.41,51,4.0,50,No
263,Meera Das 163,Finance,Accountant,64.4,80,86.24,93.55,3.6,69.85,54,3.7,55,No
264,Jasmine Gonzalez 164,Finance,Financial Analyst,68.6,60,65.39,96.5,3.9,83.32,44,3.3,79,No
265,Sara Khan 165,IT,Developer,61.8,60,82.59,92.33,3.0,74.47,49,3.7,56,No
266,Peter Mckee 166,Finance,Accountant,75.0,100,77.46,90.09,4.2,85.27,51,4.0,51,No
267,Manish Badami 167,HR,Employee Relations,94.9,60,64.58,95.69,4.9,93.48,42,4.2,45,No
268,Manish Badami 168,IT,Software Engineer,90.2,60,63.78,93.39,4.8,76.16,36,4.3,77,No
269,Meera Das 169,HR,Employee Relations,74.9,60,82.53,79.51,3.5,85.91,35,3.5,37,No
270,Brenda Bauer 170,HR,Employee Relations,81.4,60,84.98,86.68,4.3,91.98,39,3.5,83,No
271,Peter Mckee 171,IT,Tester,63.3,60,67.54,84.14,4.2,85.76,37,4.0,47,No
272,Devansh Banerjee 172,Marketing,Content Lead,89.6,60,87.7,96.07,3.9,79.81,45,3.8,40,No
273,Navya Chopra 173,HR,Employee Relations,53.3,60,80.85,83.94,4.0,84.08,50,4.4,58,No
274,Peter Mckee 174,HR,HR Executive,83.0,60,89.96,82.73,4.3,91.66,43,3.2,66,No
275,Sara Snyder 175,IT,Developer,77.9,80,88.9,95.19,4.4,86.1,38,4.3,73,No
276,Jasmine Gonzalez 176,IT,Cybersecurity Specialist,62.9,100,76.42,89.82,3.4,83.97,43,4.0,83,No
277,Sara Snyder 177,Finance,Auditor,69.5,60,94.36,100.0,4.3,93.25,48,3.6,65,No
278,Joel Fuller 178,Sales,Account Manager,58.4,80,66.76,81.96,4.9,88.12,44,4.2,26,No
279,Peter Mckee 179,Finance,Auditor,58.9,80,100.0,84.37,4.4,74.38,50,4.4,31,No
280,Connie Bailey 180,IT,Cybersecurity Specialist,52.9,60,69.21,95.85,4.8,89.05,43,2.9,55,No
281,Megan Williams 181,IT,Cybersecurity Specialist,81.2,80,77.52,79.05,2.3,91.6,37,5.0,9,No
282,Rohan Pillai 182,IT,Data Analyst,86.5,40,72.33,97.24,4.3,74.1,35,4.0,39,No
283,Avani Bhat 183,HR,Employee Relations,46.1,60,74.23,79.55,4.1,65.85,54,4.3,16,No
284,Pari Joshi 184,Finance,Auditor,94.1,60,100.0,92.27,4.5,75.66,45,4.3,57,No
285,Devansh Banerjee 185,IT,Data Analyst,71.9,60,73.37,75.1,3.2,83.18,54,4.1,5,No
286,Arjun Rao 186,Sales,Account Manager,75.5,60,86.51,88.32,3.6,92.08,54,3.7,38,No
287,Peggy Mann 187,IT,Tester,54.3,80,75.65,78.41,4.4,76.87,35,4.1,17,No
288,Norman Lane 188,Sales,Business Development,87.8,40,87.37,100.0,3.3,88.44,39,4.0,72,No
289,Anna Dominguez 189,IT,Developer,74.4,100,72.56,80.5,4.0,60.86,43,4.2,71,No
290,Kabir Mehta 190,Sales,Sales Executive,85.7,60,80.56,82.2,3.9,85.44,37,4.9,41,No
291,Taylor Morris 191,Sales,Account Manager,86.7,80,84.29,91.75,3.8,80.75,46,3.8,3,Yes
292,Navya Chopra 192,Finance,Accountant,88.0,60,70.78,83.79,4.2,100.0,52,3.4,19,No
293,Ishaan Malhotra 193,HR,HR Manager,64.2,60,100.0,92.9,3.2,68.86,36,4.0,27,No
294,Devansh Banerjee 194,Sales,Sales Executive,69.5,60,84.81,83.02,3.4,83.88,44,3.6,39,No
295,Avani Bhat 195,IT,Tester,64.7,60,75.74,82.48,3.8,68.81,41,3.3,64,No
296,Peter Mckee 196,Sales,Sales Executive,82.7,40,71.03,87.81,3.2,79.6,52,3.6,43,No
297,Christopher Benson 197,HR,HR Manager,76.0,60,78.92,79.48,4.6,70.39,50,3.2,22,No
298,Kabir Mehta 198,HR,HR Manager,84.8,40,65.84,90.77,3.4,100.0,47,3.2,56,No
299,Steven Barnett 199,Finance,Financial Analyst,85.4,60,95.82,94.14,4.4,81.16,35,4.9,46,No
300,Christopher Benson 200,IT,Cybersecurity Specialist,51.3,100,82.31,91.87,3.4,82.31,41,4.6,12,No
301,Ashley Marsh 201,IT,Data Analyst,88.2,20,77.12,92.5,4.3,83.66,45,4.0,15,No
302,Steven Barnett 202,HR,Recruitment Specialist,83.4,60,88.46,74.53,2.9,74.94,40,3.4,54,No
303,Steven Barnett 203,Finance,Accountant,67.6,80,70.78,84.77,4.7,92.44,39,2.9,64,No
304,Norman Lane 204,IT,Data Analyst,76.2,60,66.44,86.41,4.6,89.12,44,3.8,80,No
305,Nicole Roberts 205,Sales,Sales Executive,70.5,60,76.7,98.18,3.6,91.34,37,4.4,15,No
306,Ishaan Malhotra 206,IT,Tester,79.4,60,79.28,83.93,3.4,74.26,49,3.9,36,No
307,Devansh Banerjee 207,Finance,Auditor,67.5,60,83.31,71.89,4.2,93.08,46,4.6,51,No
308,Ayaan Saxena 208,Finance,Accountant,77.7,40,63.24,80.97,3.0,92.16,39,3.7,9,No
309,Steven Barnett 209,IT,Software Engineer,72.8,60,73.44,83.37,3.9,82.14,48,3.8,37,No
310,Norman Lane 210,IT,Cybersecurity Specialist,66.8,60,47.17,72.9,3.4,91.16,46,4.3,43,No
311,Rohan Pillai 211,IT,Developer,74.3,80,66.18,94.78,3.7,86.18,45,3.2,73,No
312,Myra Nair 212,Marketing,Content Lead,100.0,80,85.15,77.01,3.5,71.25,47,4.1,53,Yes
313,Peggy Mann 213,Sales,Business Development,63.8,80,87.61,91.12,3.4,82.54,44,4.1,50,No
314,Aarav Sharma 214,Sales,Business Development,69.0,60,66.58,80.35,4.9,80.15,44,3.9,51,No
315,Saanvi Iyer 215,IT,Software Engineer,64.0,60,74.75,98.55,4.4,84.68,48,4.8,69,No
316,Riya Mishra 216,IT,Cybersecurity Specialist,65.2,60,78.26,86.07,3.0,92.17,54,4.4,58,No
317,Aditya Kumar 217,Sales,Business Development,81.8,60,88.78,84.65,3.4,70.87,50,3.0,12,No
318,Peggy Mann 218,Marketing,Content Lead,80.6,60,93.29,91.7,4.4,80.45,46,3.8,40,No
319,Christopher Benson 219,HR,Recruitment Specialist,71.9,80,79.53,80.95,4.5,77.43,52,3.6,11,No
320,Aarav Sharma 220,Finance,Auditor,84.3,60,75.39,92.03,3.1,77.77,38,3.9,49,No
321,Judith Ware 221,HR,HR Manager,81.5,60,63.56,84.63,4.3,77.42,44,3.4,56,No
322,Steven Barnett 222,IT,Engineer,70.1,60,79.08,83.84,4.1,84.55,35,3.4,49,No
323,Peter Mckee 223,Finance,Financial Analyst,53.6,80,98.75,87.39,2.7,88.19,52,3.9,56,No
324,Christopher Benson 224,Finance,Auditor,82.0,60,90.9,80.37,3.7,86.79,49,4.0,53,No
325,Avani Bhat 225,Sales,Sales Executive,74.0,60,79.75,86.66,3.8,85.49,51,3.5,65,No
326,Brenda Bauer 226,Sales,Business Development,72.3,80,81.03,90.38,3.9,88.97,35,3.4,7,No
327,Pari Joshi 227,IT,Cybersecurity Specialist,66.4,40,71.11,71.84,3.1,100.0,48,3.0,62,No
328,Reyansh Reddy 228,Sales,Business Development,80.9,60,74.43,95.64,3.4,85.09,46,4.2,8,No
329,Aarav Sharma 229,IT,Developer,76.2,80,79.48,93.71,3.5,92.17,45,3.8,59,No
330,Navya Chopra 230,IT,Developer,69.2,80,79.51,75.02,3.6,91.71,54,3.6,62,No
331,David Williams 231,HR,HR Executive,57.3,20,88.11,73.93,3.6,98.22,53,4.5,71,No
332,Aditya Kumar 232,Finance,Accountant,84.8,60,87.62,93.89,3.8,88.48,38,2.5,2,No
333,Erin Massey 233,IT,Developer,79.3,60,83.21,93.35,4.1,77.25,51,4.3,72,No
334,Megan Williams 234,HR,HR Manager,75.1,60,68.01,92.36,5.0,86.44,52,4.9,12,No
335,Norman Lane 235,Marketing,Content Lead,40.1,60,68.39,78.01,4.4,86.01,38,2.7,8,No
336,Sara Snyder 236,IT,Cybersecurity Specialist,71.5,100,69.12,100.0,4.7,90.52,35,2.8,51,No
337,Norman Lane 237,IT,Developer,69.1,60,80.36,82.71,3.6,77.01,40,3.1,61,No
338,Devansh Banerjee 238,IT,Engineer,64.6,60,57.74,89.68,3.3,94.13,41,3.3,7,No
339,Rohan Pillai 239,Support,Support Engineer,81.1,60,77.94,89.76,4.4,84.04,35,4.6,44,No
340,Peter Mckee 240,Sales,Sales Executive,80.6,40,92.09,99.15,3.9,90.72,40,3.8,52,No
341,Diya Patel 241,Finance,Financial Analyst,77.2,60,84.67,88.88,4.3,86.48,37,5.0,62,No
342,Peggy Mann 242,Marketing,Marketing Executive,84.5,60,74.49,90.91,3.4,84.98,50,3.8,80,No
343,Jeffery Lopez 243,Sales,Business Development,59.7,80,71.02,87.46,4.3,85.87,36,3.8,56,No
344,Peggy Mann 244,Finance,Accountant,66.6,60,86.06,79.62,3.8,89.38,36,4.8,53,No
345,Aditya Kumar 245,Sales,Account Manager,72.9,60,81.06,71.77,3.6,99.67,45,2.5,18,No
346,Anna Dominguez 246,Marketing,Content Lead,64.5,60,75.54,88.23,3.7,67.86,54,4.1,66,No
347,Aditi Sen 247,Finance,Auditor,80.7,60,72.11,78.11,4.2,88.32,45,4.3,45,No
348,Joel Fuller 248,IT,Engineer,65.7,40,78.76,90.45,4.4,84.35,42,4.7,9,No
349,Peter Mckee 249,IT,Data Analyst,87.6,80,74.97,89.04,3.7,82.58,53,4.5,17,Yes
350,Peggy Mann 250,Support,Helpdesk,60.8,80,85.84,88.87,4.1,65.09,49,4.2,11,No
351,Peggy Mann 251,Sales,Business Development,97.6,40,90.41,80.63,4.1,88.64,54,4.8,48,No
352,Riya Mishra 252,Support,Helpdesk,96.4,80,64.33,95.26,4.3,83.0,48,4.8,22,Yes
353,Clinton Scott 253,Support,Helpdesk,70.9,60,65.74,91.32,4.5,77.32,52,4.4,61,No
354,Manish Badami 254,IT,Cybersecurity Specialist,85.8,60,91.48,79.73,5.0,84.34,54,3.4,10,No
