Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
25,No,Travel_Rarely,713,Sales,28,2,Other,1,145,2,Male,97,2,4,Business Development,4,Single,6805,16408,4,Y,No,20,3,3,80,1,19,6,3,14,11,0,14
24,No,Travel_Rarely,1413,Research & Development,15,1,Medical,1,146,2,Male,32,1,1,Accountant,1,Single,5606,15851,1,Y,Yes,23,3,2,80,0,13,6,4,10,8,0,10
41,No,Travel_Rarely,1475,Research & Development,27,3,Technical Degree,1,147,1,Male,42,3,3,Financial Analyst,4,Divorced,14790,18881,1,Y,Yes,17,4,3,80,0,10,6,4,3,0,2,2
34,No,Travel_Rarely,873,Research & Development,20,1,Human Resources,1,148,1,Female,35,2,2,Accountant,2,Single,11947,2599,4,Y,Yes,12,4,3,80,3,18,4,2,12,10,3,12
59,No,Non-Travel,361,Research & Development,4,2,Life Sciences,1,149,3,Male,30,2,2,SEO Analyst,1,Single,15089,24472,4,Y,No,14,2,3,80,0,10,6,4,7,6,5,7
51,No,Travel_Rarely,639,Sales,27,1,Marketing,1,150,1,Male,34,3,3,Business Development,4,Divorced,11963,18419,8,Y,Yes,14,3,1,80,0,15,3,4,12,10,1,12
34,No,Travel_Rarely,1259,Research & Development,20,2,Life Sciences,1,151,3,Male,95,2,3,Content Lead,4,Divorced,14312,23734,7,Y,Yes,22,3,4,80,0,16,6,3,12,12,8,10
26,No,Travel_Rarely,1459,Research & Development,19,2,Life Sciences,1,152,3,Other,70,2,1,Tester,2,Single,10675,10944,7,Y,Yes,16,4,2,80,0,7,6,4,1,0,0,0
32,No,Travel_Rarely,589,Research & Development,23,5,Life Sciences,1,153,2,Female,79,3,1,Engineer,4,Married,8453,2489,9,Y,No,25,1,1,80,0,15,4,3,6,6,2,6
36,No,Travel_Frequently,1397,Research & Development,21,1,Human Resources,1,154,4,Male,36,4,4,HR Executive,3,Married,5339,16135,3,Y,No,17,3,1,80,2,23,2,3,15,12,7,14
37,No,Travel_Rarely,321,Research & Development,11,3,Medical,1,155,3,Female,50,2,1,SEO Specialist,2,Single,5726,14866,8,Y,No,24,3,1,80,1,18,6,2,14,14,2,14
43,No,Travel_Frequently,1459,Research & Development,20,2,Technical Degree,1,156,1,Male,82,3,1,Tester,3,Married,12683,19702,0,Y,No,12,4,4,80,1,4,1,4,2,1,0,0
34,No,Travel_Rarely,1092,Research & Development,5,4,Human Resources,1,157,3,Male,49,2,2,Accountant,2,Divorced,13115,11124,5,Y,No,11,3,3,80,0,16,0,3,8,8,3,6
27,No,Travel_Frequently,1246,Research & Development,23,1,Other,1,158,2,Female,94,1,3,Recruitment Specialist,1,Married,12043,9209,4,Y,Yes,16,3,2,80,0,14,1,2,14,14,4,13
52,No,Travel_Frequently,1042,Research & Development,20,5,Medical,1,159,3,Other,61,2,2,Engineer,2,Married,3303,7795,2,Y,No,13,5,2,80,3,6,5,2,5,2,3,5
35,No,Travel_Rarely,1075,Research & Development,12,3,Marketing,1,160,3,Female,35,3,2,Developer,2,Married,6226,8977,0,Y,No,21,3,1,80,0,6,5,3,3,2,0,1
37,No,Travel_Frequently,314,Sales,16,1,Technical Degree,1,161,3,Female,70,2,3,Sales Executive,3,Married,8578,14816,4,Y,No,16,2,4,80,3,15,6,2,10,7,6,8
54,No,Travel_Frequently,514,Sales,29,4,Medical,1,162,3,Male,62,3,3,Business Development,3,Married,4765,26050,0,Y,No,12,2,1,80,1,9,3,2,7,4,4,6
25,No,Travel_Rarely,726,Research & Development,10,3,Marketing,1,163,3,Female,54,3,1,Cybersecurity Specialist,2,Single,9938,23045,5,Y,No,20,4,1,80,1,23,5,4,14,13,3,12
47,No,Non-Travel,825,Research & Development,21,2,Other,1,164,3,Female,53,4,1,Tester,1,Divorced,7258,24632,2,Y,No,23,3,1,80,0,13,3,4,11,9,7,9
43,No,Travel_Rarely,484,Sales,22,4,Technical Degree,1,165,3,Male,41,4,1,Business Development,2,Divorced,4380,17260,2,Y,No,17,3,2,80,1,23,0,2,15,14,1,14
34,No,Travel_Rarely,752,Research & Development,6,4,Other,1,166,2,Male,66,1,1,Engineer,4,Single,8810,19812,2,Y,No,25,3,1,80,2,17,4,4,15,13,6,14
35,No,Travel_Rarely,790,Sales,28,3,Marketing,1,167,1,Other,79,3,1,Sales Executive,2,Single,4225,12258,2,Y,No,22,5,3,80,0,6,5,3,2,1,0,1
53,No,Travel_Rarely,612,Sales,12,2,Human Resources,1,168,2,Male,38,3,3,Business Development,1,Married,13610,8556,9,Y,Yes,20,3,1,80,0,7,6,4,5,5,0,3
51,No,Travel_Frequently,496,Research & Development,7,4,Marketing,1,169,3,Male,96,4,4,Employee Relations,3,Married,11190,14162,9,Y,Yes,23,3,2,80,1,11,4,4,11,8,7,9
55,No,Travel_Rarely,909,Research & Development,10,3,Other,1,170,3,Other,33,1,3,Marketing Executive,4,Divorced,6138,18107,2,Y,No,18,1,3,80,1,12,6,2,8,8,4,8
37,No,Travel_Rarely,384,Research & Development,16,4,Life Sciences,1,171,4,Male,83,3,1,Cybersecurity Specialist,2,Single,4246,23682,1,Y,Yes,15,3,2,80,1,17,3,4,13,12,5,13
48,No,Travel_Rarely,961,Research & Development,29,3,Human Resources,1,172,2,Female,35,4,2,Content Lead,2,Married,6750,7977,4,Y,No,24,2,3,80,1,13,0,4,11,9,4,11
39,No,Travel_Frequently,499,Sales,3,2,Marketing,1,173,3,Male,95,2,2,Account Manager,2,Married,8076,2806,5,Y,Yes,25,4,1,80,1,9,3,3,1,0,0,0
43,No,Travel_Rarely,1228,Research & Development,16,4,Human Resources,1,174,4,Female,66,2,3,SEO Analyst,3,Married,12402,18030,5,Y,Yes,19,4,3,80,0,24,1,4,15,13,8,13
52,No,Travel_Rarely,773,Sales,12,2,Technical Degree,1,175,2,Female,74,3,4,Sales Executive,1,Married,13237,17559,1,Y,No,16,3,2,80,0,4,4,3,1,0,0,0
33,No,Travel_Rarely,602,Research & Development,8,2,Life Sciences,1,176,3,Male,43,4,3,Software Engineer,4,Married,13974,16498,0,Y,No,22,3,3,80,2,5,1,4,3,2,0,3
40,No,Travel_Frequently,139,Research & Development,5,3,Life Sciences,1,177,4,Other,72,3,2,Engineer,1,Single,10484,18708,3,Y,No,13,3,4,80,1,7,1,4,3,1,2,2
55,No,Travel_Rarely,1062,Research & Development,17,3,Marketing,1,178,4,Female,95,3,2,Data Analyst,1,Divorced,6109,4171,9,Y,No,25,3,3,80,2,19,2,1,13,12,8,11
25,No,Travel_Rarely,448,Research & Development,20,1,Technical Degree,1,179,3,Female,36,1,3,Engineer,2,Single,5613,21453,7,Y,No,12,3,3,80,3,8,4,3,7,7,4,7
29,No,Travel_Frequently,321,Sales,27,4,Human Resources,1,180,1,Male,84,3,1,Business Development,4,Single,3234,19915,0,Y,No,17,5,4,80,0,10,3,3,6,4,4,5
49,No,Travel_Rarely,1050,Research & Development,20,3,Marketing,1,181,3,Female,66,2,1,Cybersecurity Specialist,4,Married,5822,17358,6,Y,Yes,11,4,4,80,2,9,3,4,7,5,0,5
26,No,Non-Travel,163,Research & Development,14,3,Medical,1,182,4,Female,45,2,1,HR Executive,3,Married,3705,16745,4,Y,Yes,25,3,2,80,3,12,1,4,4,4,1,4
45,No,Travel_Rarely,1127,Research & Development,24,4,Marketing,1,183,1,Male,46,3,3,Engineer,4,Married,9070,14151,7,Y,No,11,3,3,80,1,18,5,3,11,8,4,10
51,No,Travel_Frequently,978,Research & Development,29,3,Medical,1,184,1,Female,30,2,1,Software Engineer,1,Married,10157,2278,1,Y,No,18,3,3,80,0,10,0,2,2,1,0,2
42,No,Travel_Frequently,1107,Research & Development,26,1,Life Sciences,1,185,2,Female,31,1,1,Tester,2,Married,4187,5648,0,Y,No,23,4,1,80,2,7,2,4,2,0,1,2
22,No,Travel_Rarely,1141,Research & Development,9,2,Marketing,1,186,1,Male,62,3,1,Support Engineer,2,Married,6751,12865,8,Y,Yes,16,3,4,80,2,13,2,2,10,9,0,8
25,No,Travel_Rarely,1123,Sales,19,5,Marketing,1,187,4,Male,42,3,2,Business Development,2,Single,11362,7339,3,Y,No,24,3,3,80,1,9,6,3,1,0,0,1
47,No,Travel_Rarely,1465,Research & Development,12,1,Life Sciences,1,188,4,Female,94,3,2,Software Engineer,1,Divorced,4285,21701,3,Y,Yes,13,1,1,80,1,17,6,4,14,13,6,12
45,No,Travel_Rarely,1133,Sales,11,3,Human Resources,1,189,2,Male,80,4,3,Sales Executive,3,Married,8886,4638,1,Y,No,19,4,3,80,1,16,5,3,13,11,3,11
28,No,Travel_Rarely,881,Research & Development,26,3,Other,1,190,4,Female,62,2,2,Developer,3,Single,14125,18204,1,Y,No,22,4,2,80,0,15,5,2,14,13,4,13
21,No,Travel_Frequently,1046,Research & Development,1,3,Marketing,1,191,4,Other,32,2,4,Tester,4,Married,9472,2999,4,Y,Yes,11,3,3,80,3,9,1,4,9,8,3,8
40,No,Travel_Rarely,1497,Sales,11,1,Technical Degree,1,192,4,Female,89,3,1,Sales Executive,2,Divorced,4358,25620,1,Y,Yes,15,3,3,80,3,23,2,4,14,14,5,13
43,No,Travel_Frequently,1489,Research & Development,29,3,Other,1,193,2,Other,73,1,2,HR Executive,2,Single,7940,14006,5,Y,No,11,2,1,80,0,17,2,4,14,14,1,14
52,No,Travel_Rarely,450,Sales,29,3,Life Sciences,1,194,1,Male,34,4,2,Account Manager,2,Married,15271,22313,6,Y,No,23,4,2,80,1,12,1,4,7,5,3,5
31,No,Travel_Frequently,198,Research & Development,27,5,Human Resources,1,195,2,Male,76,3,1,Support Engineer,2,Married,4554,2494,1,Y,Yes,17,4,1,80,1,13,3,3,10,7,7,8
59,No,Travel_Rarely,928,Research & Development,8,2,Other,1,196,1,Female,72,2,1,Recruitment Specialist,2,Single,3780,24214,7,Y,Yes,11,3,1,80,0,6,1,3,3,1,2,2
44,No,Non-Travel,997,Research & Development,25,3,Life Sciences,1,197,4,Male,76,3,1,Financial Analyst,4,Divorced,4702,23360,8,Y,No,14,2,2,80,3,3,1,4,2,0,1,0
31,No,Travel_Rarely,1157,Sales,20,3,Life Sciences,1,198,3,Female,35,2,3,Account Manager,3,Married,11086,7781,9,Y,No,12,3,2,80,0,16,4,4,14,14,4,12
49,No,Travel_Rarely,448,Research & Development,21,3,Human Resources,1,199,2,Female,89,2,1,Data Analyst,3,Single,6982,11972,2,Y,Yes,20,3,3,80,0,5,3,2,3,0,2,1
46,No,Travel_Rarely,676,Research & Development,4,3,Other,1,200,1,Female,65,3,1,Support Engineer,1,Divorced,14094,6475,3,Y,No,19,3,1,80,2,13,1,3,7,6,3,6
36,No,Travel_Rarely,275,Research & Development,4,2,Human Resources,1,201,1,Male,66,3,3,Software Engineer,2,Married,3941,8144,6,Y,No,13,3,1,80,0,8,4,4,5,3,4,4
55,Yes,Travel_Rarely,146,Sales,11,2,Human Resources,1,202,4,Female,35,3,2,Business Development,3,Divorced,5697,13406,0,Y,Yes,16,3,2,80,1,14,6,3,12,12,6,12
40,No,Travel_Rarely,1341,Sales,29,3,Other,1,203,1,Other,59,3,1,Sales Executive,3,Married,5184,17284,3,Y,No,17,3,3,80,3,7,2,1,3,3,2,3
23,No,Travel_Rarely,1344,Research & Development,19,3,Other,1,204,4,Female,39,3,4,Content Lead,4,Married,4660,7213,0,Y,No,12,3,2,80,1,12,6,3,9,9,2,9
21,No,Non-Travel,1134,Research & Development,26,3,Technical Degree,1,205,4,Male,57,1,1,Recruitment Specialist,4,Married,5798,18450,1,Y,Yes,11,4,3,80,0,2,0,4,2,0,0,1
21,No,Travel_Rarely,289,Research & Development,4,2,Medical,1,206,4,Female,35,4,1,Financial Analyst,1,Married,3669,23470,8,Y,No,12,3,4,80,0,12,3,3,7,5,3,6
37,No,Travel_Rarely,999,Sales,25,2,Other,1,207,1,Female,53,2,1,Business Development,1,Single,10687,23508,1,Y,No,18,3,3,80,3,19,6,3,15,13,7,13
22,No,Travel_Frequently,185,Sales,23,1,Other,1,208,3,Female,81,2,1,Sales Executive,3,Divorced,9451,21139,2,Y,No,23,2,3,80,1,16,4,4,10,9,8,10
49,No,Travel_Rarely,644,Research & Development,6,1,Life Sciences,1,209,2,Other,97,3,1,Developer,1,Single,12377,14983,5,Y,No,19,3,4,80,1,13,5,3,6,3,4,5
40,No,Travel_Rarely,706,Research & Development,28,3,Marketing,1,210,1,Female,74,4,2,Financial Analyst,3,Married,13243,17640,0,Y,No,18,4,1,80,0,8,3,3,6,4,3,4
26,No,Travel_Rarely,429,Research & Development,9,4,Medical,1,211,2,Male,56,1,4,Software Engineer,4,Single,8941,3354,6,Y,No,11,1,2,80,3,17,4,3,14,11,1,14
28,No,Travel_Rarely,518,Sales,11,2,Marketing,1,212,1,Female,97,3,2,Business Development,1,Divorced,10063,26637,7,Y,No,12,3,3,80,1,11,2,3,7,7,2,5
49,No,Travel_Rarely,1304,Research & Development,29,2,Marketing,1,213,4,Male,42,3,1,Content Strategist,3,Married,4244,19322,8,Y,Yes,14,2,2,80,1,13,2,3,6,5,3,5
53,No,Non-Travel,1118,Sales,12,2,Marketing,1,214,2,Female,48,3,4,Account Manager,3,Divorced,5059,16477,8,Y,No,25,3,3,80,1,11,6,1,2,1,0,2
23,No,Non-Travel,1407,Research & Development,18,3,Technical Degree,1,215,4,Female,62,1,1,Support Engineer,4,Married,7733,26944,4,Y,No,18,3,1,80,2,17,0,2,11,9,6,10
55,No,Travel_Rarely,634,Research & Development,20,1,Technical Degree,1,216,1,Male,42,3,2,Developer,3,Divorced,14052,9544,4,Y,No,24,2,4,80,0,11,2,3,5,3,4,3
25,No,Travel_Rarely,1172,Research & Development,9,4,Medical,1,217,1,Female,36,2,1,Support Engineer,2,Married,7635,25987,3,Y,No,25,2,2,80,3,7,5,4,3,1,1,3
47,No,Travel_Rarely,943,Research & Development,24,3,Human Resources,1,218,3,Male,62,1,2,Marketing Executive,2,Married,9567,5610,3,Y,No,19,4,1,80,0,12,2,3,9,7,6,9
32,Yes,Travel_Rarely,832,Research & Development,15,5,Technical Degree,1,219,2,Female,61,3,2,SEO Specialist,3,Married,6698,15020,9,Y,Yes,17,3,3,80,0,8,6,2,8,5,1,8
40,No,Travel_Rarely,1125,Research & Development,17,4,Life Sciences,1,220,1,Male,74,3,2,Engineer,1,Single,8307,25603,0,Y,No,18,3,1,80,0,15,0,4,10,7,3,8
40,No,Travel_Rarely,967,Research & Development,9,3,Medical,1,221,1,Female,85,4,2,Financial Analyst,2,Married,12943,10959,6,Y,No,19,4,1,80,0,19,3,4,11,10,0,9
29,No,Travel_Rarely,253,Research & Development,13,3,Life Sciences,1,222,3,Female,75,1,5,SEO Specialist,2,Divorced,6669,13496,7,Y,No,14,3,2,80,1,3,2,2,2,2,0,1
59,No,Travel_Rarely,244,Research & Development,26,2,Marketing,1,223,3,Male,48,2,1,Recruitment Specialist,2,Married,15113,14288,3,Y,No,22,4,4,80,0,15,3,3,15,14,4,13
24,No,Travel_Rarely,1422,Research & Development,2,3,Life Sciences,1,224,3,Female,63,1,3,Content Lead,2,Divorced,12345,4877,2,Y,Yes,14,5,3,80,0,10,0,1,1,1,0,0
39,No,Travel_Rarely,1438,Research & Development,17,4,Technical Degree,1,225,4,Male,92,2,1,Content Lead,1,Single,7520,20623,2,Y,Yes,24,3,4,80,3,19,1,3,15,15,7,15
58,No,Travel_Rarely,825,Research & Development,18,1,Life Sciences,1,226,3,Male,99,3,2,Employee Relations,4,Married,3793,18148,6,Y,Yes,21,3,3,80,3,7,2,4,4,2,0,2
47,No,Travel_Rarely,906,Sales,26,4,Marketing,1,227,3,Other,83,3,1,Business Development,1,Single,6710,21047,5,Y,No,13,3,1,80,0,7,3,3,4,4,2,4
33,No,Travel_Rarely,637,Research & Development,27,2,Marketing,1,228,2,Female,84,2,4,Support Engineer,4,Married,4064,2100,0,Y,No,17,4,2,80,0,12,5,2,12,9,6,10
33,No,Travel_Frequently,1017,Sales,6,4,Technical Degree,1,229,4,Male,79,3,3,Account Manager,2,Married,12252,22859,0,Y,Yes,24,3,2,80,0,10,4,2,10,9,6,9
42,No,Travel_Rarely,814,Research & Development,2,4,Medical,1,230,4,Female,94,3,2,Engineer,2,Married,9565,2833,0,Y,Yes,22,4,2,80,2,11,5,2,11,9,0,11
48,No,Non-Travel,443,Research & Development,1,3,Human Resources,1,231,1,Female,74,3,5,HR Manager,1,Single,9448,15815,4,Y,No,21,5,4,80,0,9,4,3,2,0,1,0
42,No,Non-Travel,1053,Sales,5,3,Other,1,232,2,Male,59,4,3,Sales Executive,1,Single,12161,12668,0,Y,No,14,4,4,80,1,7,1,1,7,6,2,5
39,No,Travel_Rarely,1152,Research & Development,14,3,Medical,1,233,3,Female,90,2,5,Data Analyst,4,Married,14961,8514,6,Y,Yes,23,4,1,80,0,17,2,4,13,12,2,12
28,No,Travel_Frequently,1238,Research & Development,27,4,Human Resources,1,234,4,Male,88,2,3,Engineer,1,Married,9476,11147,8,Y,No,24,3,3,80,2,24,2,4,15,13,1,15
28,No,Travel_Rarely,1389,Research & Development,18,5,Other,1,235,1,Male,31,3,1,HR Manager,3,Single,12803,26593,2,Y,No,23,4,3,80,1,8,2,3,3,0,2,2
46,No,Travel_Rarely,581,Research & Development,27,4,Technical Degree,1,236,2,Male,59,3,2,Engineer,1,Married,11868,26078,3,Y,Yes,11,2,2,80,0,13,4,4,7,7,6,6
46,No,Travel_Frequently,1233,Research & Development,4,3,Technical Degree,1,237,3,Female,75,3,5,Tester,2,Married,14406,15821,6,Y,Yes,24,3,2,80,0,11,1,3,7,4,4,6
43,No,Travel_Rarely,504,Sales,27,3,Technical Degree,1,238,2,Female,97,1,1,Account Manager,1,Single,13604,20464,1,Y,Yes,18,3,2,80,2,9,4,4,1,0,0,0
33,No,Travel_Rarely,816,Research & Development,14,4,Marketing,1,239,2,Female,48,4,3,Helpdesk,2,Married,11368,15578,3,Y,Yes,11,3,1,80,0,6,2,2,6,6,1,4
48,No,Travel_Rarely,862,Research & Development,15,3,Medical,1,240,3,Female,34,3,1,Content Strategist,3,Married,10358,17282,6,Y,Yes,22,2,2,80,0,10,1,4,4,1,0,2
29,Yes,Travel_Rarely,1257,Research & Development,27,4,Human Resources,1,241,1,Female,86,3,2,Cybersecurity Specialist,2,Single,3469,6828,8,Y,Yes,22,3,3,80,0,16,4,4,11,11,4,10
